arm,step,tokens_seen,word,klass,pair_id,surprisal_bits,n
B,31,1015808,so,Germanic,61,8.8423,30
B,31,1015808,sometimes,Germanic,65,13.6529,30
B,31,1015808,start,Germanic,25,13.2878,30
B,31,1015808,stay,Germanic,27,11.9233,30
B,31,1015808,strange,Latinate,55,14.1155,30
B,31,1015808,subsequent,Latinate,53,32.3018,30
B,31,1015808,sufficient,Latinate,44,18.4125,30
B,31,1015808,therefore,Latinate,61,15.2424,30
B,31,1015808,try,Germanic,7,12.0631,30
B,31,1015808,understand,Germanic,0,12.7991,30
B,31,1015808,want,Germanic,4,9.3720,30
B,31,1015808,whole,Germanic,45,12.2164,30
B,31,1015808,will,Germanic,67,9.4651,30
B,61,1998848,acquire,Latinate,1,33.0140,18
B,61,1998848,additional,Latinate,48,20.8847,30
B,61,1998848,allow,Latinate,14,15.0460,30
B,61,1998848,ancient,Latinate,49,14.4154,30
B,61,1998848,answer,Germanic,17,14.3865,30
B,61,1998848,ask,Germanic,15,12.1531,30
B,61,1998848,assist,Latinate,8,17.7609,30
B,61,1998848,assistance,Latinate,37,19.0033,30
B,61,1998848,attempt,Latinate,7,16.9570,30
B,61,1998848,baby,Germanic,31,12.3231,30
B,61,1998848,before,Germanic,64,11.4762,30
B,61,1998848,beverage,Latinate,32,36.0068,11
B,61,1998848,build,Germanic,9,13.7348,30
B,61,1998848,but,Germanic,60,8.1323,30
B,61,1998848,buy,Germanic,11,13.5021,30
B,61,1998848,choose,Germanic,21,14.2570,30
B,61,1998848,commence,Latinate,25,27.6087,14
B,61,1998848,comprehend,Latinate,0,47.1576,19
B,61,1998848,conceal,Latinate,19,27.6791,30
B,61,1998848,conclude,Latinate,24,33.3066,15
B,61,1998848,construct,Latinate,9,35.4189,18
B,61,1998848,currently,Latinate,66,15.8091,30
B,61,1998848,demonstrate,Latinate,10,29.5231,30
B,61,1998848,depart,Latinate,12,17.1427,30
B,61,1998848,desire,Latinate,4,17.1125,30
B,61,1998848,difficult,Latinate,43,15.4871,30
B,61,1998848,discover,Latinate,20,17.6515,30
B,61,1998848,do,Germanic,30,8.6735,30
B,61,1998848,drink,Germanic,32,14.5274,30
B,61,1998848,earlier,Germanic,50,14.7690,30
B,61,1998848,end,Germanic,24,11.9930,30
B,61,1998848,enormous,Latinate,38,18.0863,30
B,61,1998848,enough,Germanic,44,12.3266,30
B,61,1998848,entire,Latinate,45,14.4152,30
B,61,1998848,error,Latinate,34,18.0371,30
B,61,1998848,fast,Germanic,42,13.3901,30
B,61,1998848,final,Latinate,59,12.3811,30
B,61,1998848,find,Germanic,20,12.0366,30
B,61,1998848,first,Germanic,52,12.0302,30
B,61,1998848,fortunate,Latinate,54,17.0302,30
B,61,1998848,frequently,Latinate,63,19.3096,30
B,61,1998848,get,Germanic,1,9.2635,30
B,61,1998848,gigantic,Latinate,39,33.6440,30
B,61,1998848,give,Germanic,5,10.5877,30
B,61,1998848,hard,Germanic,43,11.8121,30
B,61,1998848,have,Germanic,23,7.8754,30
B,61,1998848,help,Germanic,8,10.7763,30
B,61,1998848,hide,Germanic,19,15.0690,30
B,61,1998848,home,Germanic,33,11.7096,30
B,61,1998848,however,Latinate,60,15.2788,30
B,61,1998848,huge,Germanic,38,15.2633,30
B,61,1998848,ill,Latinate,57,15.2412,30
B,61,1998848,illness,Latinate,35,16.3153,30
B,61,1998848,immense,Latinate,40,17.6751,30
B,61,1998848,infant,Latinate,31,26.2813,30
B,61,1998848,initial,Latinate,52,16.2759,30
B,61,1998848,inquire,Latinate,16,30.0497,30
B,61,1998848,keep,Germanic,28,12.0740,30
B,61,1998848,last,Germanic,59,12.4401,30
B,61,1998848,leave,Germanic,12,11.9730,30
B,61,1998848,let,Germanic,13,11.4596,30
B,61,1998848,lucky,Germanic,54,15.2900,30
B,61,1998848,maintain,Latinate,29,19.2007,30
B,61,1998848,many,Germanic,46,10.4838,30
B,61,1998848,massive,Latinate,41,16.6025,30
B,61,1998848,maybe,Germanic,62,12.8470,30
B,61,1998848,mend,Germanic,22,22.9422,30
B,61,1998848,mistake,Germanic,34,13.9096,30
B,61,1998848,more,Germanic,48,10.1101,30
B,61,1998848,multiple,Latinate,47,18.0103,30
B,61,1998848,need,Germanic,3,11.2047,30
B,61,1998848,next,Germanic,53,12.0150,30
B,61,1998848,now,Germanic,66,10.5361,30
B,61,1998848,numerous,Latinate,46,17.9302,30
B,61,1998848,observe,Latinate,26,33.5552,30
B,61,1998848,obtain,Latinate,2,18.9605,30
B,61,1998848,occasionally,Latinate,65,20.5208,30
B,61,1998848,odd,Germanic,55,18.2509,30
B,61,1998848,often,Germanic,63,12.6537,30
B,61,1998848,old,Germanic,49,10.3480,30
B,61,1998848,peculiar,Latinate,56,17.0393,30
B,61,1998848,perform,Latinate,30,17.8387,30
B,61,1998848,perhaps,Latinate,62,13.6577,30
B,61,1998848,permit,Latinate,13,20.3583,30
B,61,1998848,possess,Latinate,23,17.9054,30
B,61,1998848,previous,Latinate,50,15.9535,30
B,61,1998848,previously,Latinate,64,17.4381,30
B,61,1998848,prior,Latinate,51,18.0659,30
B,61,1998848,provide,Latinate,5,18.0085,30
B,61,1998848,purchase,Latinate,11,18.4876,30
B,61,1998848,rapid,Latinate,42,16.9302,30
B,61,1998848,receive,Latinate,6,17.1330,30
B,61,1998848,remain,Latinate,27,17.6126,30
B,61,1998848,remainder,Latinate,36,31.3477,30
B,61,1998848,repair,Latinate,22,17.4413,30
B,61,1998848,reply,Latinate,17,17.0309,30
B,61,1998848,request,Latinate,15,17.2467,30
B,61,1998848,require,Latinate,3,17.0502,30
B,61,1998848,residence,Latinate,33,18.1203,30
B,61,1998848,respond,Latinate,18,17.6213,30
B,61,1998848,rest,Germanic,36,12.5269,30
B,61,1998848,retain,Latinate,28,19.8697,30
B,61,1998848,safe,Germanic,58,12.7793,30
B,61,1998848,secure,Latinate,58,16.4113,30
B,61,1998848,see,Germanic,26,9.5605,30
B,61,1998848,select,Latinate,21,19.7987,30
B,61,1998848,shall,Latinate,67,11.5215,30
B,61,1998848,show,Germanic,10,12.0276,30
B,61,1998848,sick,Germanic,57,14.0752,30
B,61,1998848,sickness,Germanic,35,18.6629,30
B,61,1998848,so,Germanic,61,9.6709,30
B,61,1998848,sometimes,Germanic,65,12.9936,30
B,61,1998848,start,Germanic,25,13.1389,30
B,61,1998848,stay,Germanic,27,12.8226,30
B,61,1998848,strange,Latinate,55,13.9403,30
B,61,1998848,subsequent,Latinate,53,31.1002,30
B,61,1998848,sufficient,Latinate,44,17.8912,30
B,61,1998848,therefore,Latinate,61,15.7885,30
B,61,1998848,try,Germanic,7,11.9745,30
B,61,1998848,understand,Germanic,0,12.6789,30
B,61,1998848,want,Germanic,4,9.2146,30
B,61,1998848,whole,Germanic,45,11.3398,30
B,61,1998848,will,Germanic,67,8.6889,30
B,92,3014656,acquire,Latinate,1,30.8126,18
B,92,3014656,additional,Latinate,48,20.2533,30
B,92,3014656,allow,Latinate,14,14.1074,30
B,92,3014656,ancient,Latinate,49,14.3036,30
B,92,3014656,answer,Germanic,17,12.8993,30
B,92,3014656,ask,Germanic,15,11.2821,30
B,92,3014656,assist,Latinate,8,16.1565,30
B,92,3014656,assistance,Latinate,37,18.8021,30
B,92,3014656,attempt,Latinate,7,14.5000,30
B,92,3014656,baby,Germanic,31,12.9694,30
B,92,3014656,before,Germanic,64,10.7291,30
B,92,3014656,beverage,Latinate,32,39.6865,11
B,92,3014656,build,Germanic,9,13.3921,30
B,92,3014656,but,Germanic,60,8.1545,30
B,92,3014656,buy,Germanic,11,13.1480,30
B,92,3014656,choose,Germanic,21,15.0817,30
B,92,3014656,commence,Latinate,25,28.5472,14
B,92,3014656,comprehend,Latinate,0,47.9798,19
B,92,3014656,conceal,Latinate,19,26.0347,30
B,92,3014656,conclude,Latinate,24,32.4627,15
B,92,3014656,construct,Latinate,9,30.9542,18
B,92,3014656,currently,Latinate,66,13.4024,30
B,92,3014656,demonstrate,Latinate,10,28.5927,30
B,92,3014656,depart,Latinate,12,16.2912,30
B,92,3014656,desire,Latinate,4,15.5669,30
B,92,3014656,difficult,Latinate,43,14.2731,30
B,92,3014656,discover,Latinate,20,16.1965,30
B,92,3014656,do,Germanic,30,8.0563,30
B,92,3014656,drink,Germanic,32,14.0698,30
B,92,3014656,earlier,Germanic,50,15.5405,30
B,92,3014656,end,Germanic,24,11.5888,30
B,92,3014656,enormous,Latinate,38,15.5640,30
B,92,3014656,enough,Germanic,44,11.2500,30
B,92,3014656,entire,Latinate,45,14.3216,30
B,92,3014656,error,Latinate,34,18.0498,30
B,92,3014656,fast,Germanic,42,12.1417,30
B,92,3014656,final,Latinate,59,11.4751,30
B,92,3014656,find,Germanic,20,10.8707,30
B,92,3014656,first,Germanic,52,10.0479,30
B,92,3014656,fortunate,Latinate,54,16.3747,30
B,92,3014656,frequently,Latinate,63,17.7425,30
B,92,3014656,get,Germanic,1,8.4961,30
B,92,3014656,gigantic,Latinate,39,32.2677,30
B,92,3014656,give,Germanic,5,9.8741,30
B,92,3014656,hard,Germanic,43,12.0168,30
B,92,3014656,have,Germanic,23,7.5880,30
B,92,3014656,help,Germanic,8,10.4334,30
B,92,3014656,hide,Germanic,19,14.1268,30
B,92,3014656,home,Germanic,33,12.4489,30
B,92,3014656,however,Latinate,60,13.4437,30
B,92,3014656,huge,Germanic,38,15.2360,30
B,92,3014656,ill,Latinate,57,14.1118,30
B,92,3014656,illness,Latinate,35,14.6309,30
B,92,3014656,immense,Latinate,40,17.4729,30
B,92,3014656,infant,Latinate,31,24.3429,30
B,92,3014656,initial,Latinate,52,16.3320,30
B,92,3014656,inquire,Latinate,16,25.9251,30
B,92,3014656,keep,Germanic,28,11.4016,30
B,92,3014656,last,Germanic,59,12.0327,30
B,92,3014656,leave,Germanic,12,12.3421,30
B,92,3014656,let,Germanic,13,12.4052,30
B,92,3014656,lucky,Germanic,54,14.5679,30
B,92,3014656,maintain,Latinate,29,19.2185,30
B,92,3014656,many,Germanic,46,9.7414,30
B,92,3014656,massive,Latinate,41,16.7119,30
B,92,3014656,maybe,Germanic,62,13.7583,30
B,92,3014656,mend,Germanic,22,23.7512,30
B,92,3014656,mistake,Germanic,34,13.6611,30
B,92,3014656,more,Germanic,48,10.0822,30
B,92,3014656,multiple,Latinate,47,16.7911,30
B,92,3014656,need,Germanic,3,11.7858,30
B,92,3014656,next,Germanic,53,11.3231,30
B,92,3014656,now,Germanic,66,10.2415,30
B,92,3014656,numerous,Latinate,46,17.4330,30
B,92,3014656,observe,Latinate,26,30.1118,30
B,92,3014656,obtain,Latinate,2,19.3394,30
B,92,3014656,occasionally,Latinate,65,19.2533,30
B,92,3014656,odd,Germanic,55,16.0968,30
B,92,3014656,often,Germanic,63,12.2769,30
B,92,3014656,old,Germanic,49,10.8131,30
B,92,3014656,peculiar,Latinate,56,18.9459,30
B,92,3014656,perform,Latinate,30,14.7951,30
B,92,3014656,perhaps,Latinate,62,13.4371,30
B,92,3014656,permit,Latinate,13,18.6216,30
B,92,3014656,possess,Latinate,23,16.6778,30
B,92,3014656,previous,Latinate,50,15.3139,30
B,92,3014656,previously,Latinate,64,16.8401,30
B,92,3014656,prior,Latinate,51,16.6405,30
B,92,3014656,provide,Latinate,5,15.3790,30
B,92,3014656,purchase,Latinate,11,19.1143,30
B,92,3014656,rapid,Latinate,42,16.8426,30
B,92,3014656,receive,Latinate,6,14.7527,30
B,92,3014656,remain,Latinate,27,15.7833,30
B,92,3014656,remainder,Latinate,36,31.5728,30
B,92,3014656,repair,Latinate,22,17.1386,30
B,92,3014656,reply,Latinate,17,15.2698,30
B,92,3014656,request,Latinate,15,15.7803,30
B,92,3014656,require,Latinate,3,17.3073,30
B,92,3014656,residence,Latinate,33,16.9907,30
B,92,3014656,respond,Latinate,18,17.7122,30
B,92,3014656,rest,Germanic,36,11.4646,30
B,92,3014656,retain,Latinate,28,18.3325,30
B,92,3014656,safe,Germanic,58,13.4636,30
B,92,3014656,secure,Latinate,58,15.5238,30
B,92,3014656,see,Germanic,26,8.4994,30
B,92,3014656,select,Latinate,21,20.5467,30
B,92,3014656,shall,Latinate,67,10.5677,30
B,92,3014656,show,Germanic,10,12.1984,30
B,92,3014656,sick,Germanic,57,12.7578,30
B,92,3014656,sickness,Germanic,35,17.2810,30
B,92,3014656,so,Germanic,61,10.6268,30
B,92,3014656,sometimes,Germanic,65,13.5540,30
B,92,3014656,start,Germanic,25,12.2765,30
B,92,3014656,stay,Germanic,27,12.0263,30
B,92,3014656,strange,Latinate,55,13.6867,30
B,92,3014656,subsequent,Latinate,53,27.3247,30
B,92,3014656,sufficient,Latinate,44,17.2559,30
B,92,3014656,therefore,Latinate,61,14.5479,30
B,92,3014656,try,Germanic,7,11.4185,30
B,92,3014656,understand,Germanic,0,12.2799,30
B,92,3014656,want,Germanic,4,8.1535,30
B,92,3014656,whole,Germanic,45,11.6100,30
B,92,3014656,will,Germanic,67,9.9172,30
B,122,3997696,acquire,Latinate,1,28.7790,18
B,122,3997696,additional,Latinate,48,18.8565,30
B,122,3997696,allow,Latinate,14,14.8962,30
B,122,3997696,ancient,Latinate,49,13.1495,30
B,122,3997696,answer,Germanic,17,13.0019,30
B,122,3997696,ask,Germanic,15,11.5368,30
B,122,3997696,assist,Latinate,8,16.7543,30
B,122,3997696,assistance,Latinate,37,17.7328,30
B,122,3997696,attempt,Latinate,7,15.6561,30
B,122,3997696,baby,Germanic,31,12.3142,30
B,122,3997696,before,Germanic,64,10.5448,30
B,122,3997696,beverage,Latinate,32,39.9846,11
B,122,3997696,build,Germanic,9,12.2009,30
B,122,3997696,but,Germanic,60,7.0930,30
B,122,3997696,buy,Germanic,11,11.6409,30
B,122,3997696,choose,Germanic,21,13.9779,30
B,122,3997696,commence,Latinate,25,27.6093,14
B,122,3997696,comprehend,Latinate,0,51.6971,19
B,122,3997696,conceal,Latinate,19,24.5320,30
B,122,3997696,conclude,Latinate,24,29.7356,15
B,122,3997696,construct,Latinate,9,29.5424,18
B,122,3997696,currently,Latinate,66,14.5532,30
B,122,3997696,demonstrate,Latinate,10,25.9518,30
B,122,3997696,depart,Latinate,12,17.3016,30
B,122,3997696,desire,Latinate,4,14.8256,30
B,122,3997696,difficult,Latinate,43,13.8867,30
B,122,3997696,discover,Latinate,20,15.7649,30
B,122,3997696,do,Germanic,30,7.9955,30
B,122,3997696,drink,Germanic,32,14.7850,30
