arm,step,tokens_seen,word,klass,pair_id,surprisal_bits,n
D,31,1015808,so,Germanic,61,8.6806,30
D,31,1015808,sometimes,Germanic,65,13.4103,30
D,31,1015808,start,Germanic,25,12.2523,30
D,31,1015808,stay,Germanic,27,11.7521,30
D,31,1015808,strange,Latinate,55,16.5195,30
D,31,1015808,subsequent,Latinate,53,33.4550,30
D,31,1015808,sufficient,Latinate,44,20.3652,30
D,31,1015808,therefore,Latinate,61,14.5095,30
D,31,1015808,try,Germanic,7,11.7546,30
D,31,1015808,understand,Germanic,0,12.9723,30
D,31,1015808,want,Germanic,4,9.7514,30
D,31,1015808,whole,Germanic,45,11.9075,30
D,31,1015808,will,Germanic,67,9.0291,30
D,61,1998848,acquire,Latinate,1,30.6221,18
D,61,1998848,additional,Latinate,48,17.0386,30
D,61,1998848,allow,Latinate,14,14.1840,30
D,61,1998848,ancient,Latinate,49,15.8190,30
D,61,1998848,answer,Germanic,17,12.2071,30
D,61,1998848,ask,Germanic,15,12.5695,30
D,61,1998848,assist,Latinate,8,16.8087,30
D,61,1998848,assistance,Latinate,37,17.8786,30
D,61,1998848,attempt,Latinate,7,15.4589,30
D,61,1998848,baby,Germanic,31,12.9746,30
D,61,1998848,before,Germanic,64,10.0741,30
D,61,1998848,beverage,Latinate,32,34.6578,11
D,61,1998848,build,Germanic,9,14.1383,30
D,61,1998848,but,Germanic,60,8.2297,30
D,61,1998848,buy,Germanic,11,13.0573,30
D,61,1998848,choose,Germanic,21,14.7017,30
D,61,1998848,commence,Latinate,25,29.2285,14
D,61,1998848,comprehend,Latinate,0,46.5188,19
D,61,1998848,conceal,Latinate,19,26.9309,30
D,61,1998848,conclude,Latinate,24,34.0262,15
D,61,1998848,construct,Latinate,9,36.3371,18
D,61,1998848,currently,Latinate,66,14.0361,30
D,61,1998848,demonstrate,Latinate,10,31.7469,30
D,61,1998848,depart,Latinate,12,18.3904,30
D,61,1998848,desire,Latinate,4,16.6750,30
D,61,1998848,difficult,Latinate,43,14.6973,30
D,61,1998848,discover,Latinate,20,17.2579,30
D,61,1998848,do,Germanic,30,9.7825,30
D,61,1998848,drink,Germanic,32,14.1347,30
D,61,1998848,earlier,Germanic,50,16.0523,30
D,61,1998848,end,Germanic,24,11.2339,30
D,61,1998848,enormous,Latinate,38,18.5462,30
D,61,1998848,enough,Germanic,44,12.4007,30
D,61,1998848,entire,Latinate,45,15.8317,30
D,61,1998848,error,Latinate,34,18.1818,30
D,61,1998848,fast,Germanic,42,14.2634,30
D,61,1998848,final,Latinate,59,13.1666,30
D,61,1998848,find,Germanic,20,12.0385,30
D,61,1998848,first,Germanic,52,10.7632,30
D,61,1998848,fortunate,Latinate,54,16.5910,30
D,61,1998848,frequently,Latinate,63,17.5444,30
D,61,1998848,get,Germanic,1,9.4634,30
D,61,1998848,gigantic,Latinate,39,31.1692,30
D,61,1998848,give,Germanic,5,11.0108,30
D,61,1998848,hard,Germanic,43,12.1014,30
D,61,1998848,have,Germanic,23,8.6851,30
D,61,1998848,help,Germanic,8,10.7951,30
D,61,1998848,hide,Germanic,19,14.5234,30
D,61,1998848,home,Germanic,33,11.1204,30
D,61,1998848,however,Latinate,60,13.6587,30
D,61,1998848,huge,Germanic,38,16.3425,30
D,61,1998848,ill,Latinate,57,14.0154,30
D,61,1998848,illness,Latinate,35,16.6004,30
D,61,1998848,immense,Latinate,40,17.4200,30
D,61,1998848,infant,Latinate,31,26.4697,30
D,61,1998848,initial,Latinate,52,16.8568,30
D,61,1998848,inquire,Latinate,16,30.0706,30
D,61,1998848,keep,Germanic,28,11.7844,30
D,61,1998848,last,Germanic,59,11.6937,30
D,61,1998848,leave,Germanic,12,11.9898,30
D,61,1998848,let,Germanic,13,11.7995,30
D,61,1998848,lucky,Germanic,54,15.3413,30
D,61,1998848,maintain,Latinate,29,20.5646,30
D,61,1998848,many,Germanic,46,9.9434,30
D,61,1998848,massive,Latinate,41,15.3056,30
D,61,1998848,maybe,Germanic,62,13.0053,30
D,61,1998848,mend,Germanic,22,21.6436,30
D,61,1998848,mistake,Germanic,34,13.3921,30
D,61,1998848,more,Germanic,48,10.2632,30
D,61,1998848,multiple,Latinate,47,16.7657,30
D,61,1998848,need,Germanic,3,11.8220,30
D,61,1998848,next,Germanic,53,12.0285,30
D,61,1998848,now,Germanic,66,10.6317,30
D,61,1998848,numerous,Latinate,46,17.3262,30
D,61,1998848,observe,Latinate,26,34.5586,30
D,61,1998848,obtain,Latinate,2,17.7997,30
D,61,1998848,occasionally,Latinate,65,19.5492,30
D,61,1998848,odd,Germanic,55,16.2956,30
D,61,1998848,often,Germanic,63,11.4522,30
D,61,1998848,old,Germanic,49,9.7947,30
D,61,1998848,peculiar,Latinate,56,18.0062,30
D,61,1998848,perform,Latinate,30,14.9109,30
D,61,1998848,perhaps,Latinate,62,13.5844,30
D,61,1998848,permit,Latinate,13,17.6582,30
D,61,1998848,possess,Latinate,23,18.5847,30
D,61,1998848,previous,Latinate,50,16.3413,30
D,61,1998848,previously,Latinate,64,17.9588,30
D,61,1998848,prior,Latinate,51,15.7540,30
D,61,1998848,provide,Latinate,5,15.8070,30
D,61,1998848,purchase,Latinate,11,16.9661,30
D,61,1998848,rapid,Latinate,42,18.0339,30
D,61,1998848,receive,Latinate,6,16.6461,30
D,61,1998848,remain,Latinate,27,14.8854,30
D,61,1998848,remainder,Latinate,36,28.8846,30
D,61,1998848,repair,Latinate,22,17.4911,30
D,61,1998848,reply,Latinate,17,16.2017,30
D,61,1998848,request,Latinate,15,15.0229,30
D,61,1998848,require,Latinate,3,16.1780,30
D,61,1998848,residence,Latinate,33,18.0639,30
D,61,1998848,respond,Latinate,18,16.4648,30
D,61,1998848,rest,Germanic,36,12.5740,30
D,61,1998848,retain,Latinate,28,19.4556,30
D,61,1998848,safe,Germanic,58,13.0901,30
D,61,1998848,secure,Latinate,58,15.2979,30
D,61,1998848,see,Germanic,26,10.4742,30
D,61,1998848,select,Latinate,21,17.7179,30
D,61,1998848,shall,Latinate,67,12.1788,30
D,61,1998848,show,Germanic,10,10.8732,30
D,61,1998848,sick,Germanic,57,13.5777,30
D,61,1998848,sickness,Germanic,35,16.7075,30
D,61,1998848,so,Germanic,61,9.4127,30
D,61,1998848,sometimes,Germanic,65,12.9035,30
D,61,1998848,start,Germanic,25,12.0734,30
D,61,1998848,stay,Germanic,27,12.3322,30
D,61,1998848,strange,Latinate,55,12.7423,30
D,61,1998848,subsequent,Latinate,53,33.7496,30
D,61,1998848,sufficient,Latinate,44,18.2133,30
D,61,1998848,therefore,Latinate,61,15.0469,30
D,61,1998848,try,Germanic,7,12.1061,30
D,61,1998848,understand,Germanic,0,12.7989,30
D,61,1998848,want,Germanic,4,10.8777,30
D,61,1998848,whole,Germanic,45,11.1384,30
D,61,1998848,will,Germanic,67,9.9780,30
D,92,3014656,acquire,Latinate,1,30.5065,18
D,92,3014656,additional,Latinate,48,17.5745,30
D,92,3014656,allow,Latinate,14,14.1074,30
D,92,3014656,ancient,Latinate,49,13.5969,30
D,92,3014656,answer,Germanic,17,11.8464,30
D,92,3014656,ask,Germanic,15,10.7038,30
D,92,3014656,assist,Latinate,8,18.5967,30
D,92,3014656,assistance,Latinate,37,16.8839,30
D,92,3014656,attempt,Latinate,7,15.5366,30
D,92,3014656,baby,Germanic,31,10.2569,30
D,92,3014656,before,Germanic,64,10.9424,30
D,92,3014656,beverage,Latinate,32,38.8947,11
D,92,3014656,build,Germanic,9,13.9393,30
D,92,3014656,but,Germanic,60,7.5753,30
D,92,3014656,buy,Germanic,11,11.7526,30
D,92,3014656,choose,Germanic,21,14.9714,30
D,92,3014656,commence,Latinate,25,28.4744,14
D,92,3014656,comprehend,Latinate,0,45.4437,19
D,92,3014656,conceal,Latinate,19,26.4631,30
D,92,3014656,conclude,Latinate,24,35.2129,15
D,92,3014656,construct,Latinate,9,29.0695,18
D,92,3014656,currently,Latinate,66,15.0256,30
D,92,3014656,demonstrate,Latinate,10,28.4101,30
D,92,3014656,depart,Latinate,12,16.4328,30
D,92,3014656,desire,Latinate,4,15.8870,30
D,92,3014656,difficult,Latinate,43,14.5442,30
D,92,3014656,discover,Latinate,20,16.4733,30
D,92,3014656,do,Germanic,30,7.6199,30
D,92,3014656,drink,Germanic,32,13.5056,30
D,92,3014656,earlier,Germanic,50,16.5716,30
D,92,3014656,end,Germanic,24,9.9092,30
D,92,3014656,enormous,Latinate,38,17.4941,30
D,92,3014656,enough,Germanic,44,10.8337,30
D,92,3014656,entire,Latinate,45,13.2172,30
D,92,3014656,error,Latinate,34,18.2272,30
D,92,3014656,fast,Germanic,42,12.7589,30
D,92,3014656,final,Latinate,59,13.2115,30
D,92,3014656,find,Germanic,20,10.5514,30
D,92,3014656,first,Germanic,52,10.2517,30
D,92,3014656,fortunate,Latinate,54,17.1440,30
D,92,3014656,frequently,Latinate,63,19.5508,30
D,92,3014656,get,Germanic,1,6.8698,30
D,92,3014656,gigantic,Latinate,39,32.5051,30
D,92,3014656,give,Germanic,5,8.9708,30
D,92,3014656,hard,Germanic,43,10.5193,30
D,92,3014656,have,Germanic,23,6.3967,30
D,92,3014656,help,Germanic,8,10.3174,30
D,92,3014656,hide,Germanic,19,13.9003,30
D,92,3014656,home,Germanic,33,10.8719,30
D,92,3014656,however,Latinate,60,12.5122,30
D,92,3014656,huge,Germanic,38,15.3749,30
D,92,3014656,ill,Latinate,57,13.3433,30
D,92,3014656,illness,Latinate,35,14.9924,30
D,92,3014656,immense,Latinate,40,16.5802,30
D,92,3014656,infant,Latinate,31,23.7188,30
D,92,3014656,initial,Latinate,52,15.8893,30
D,92,3014656,inquire,Latinate,16,25.9841,30
D,92,3014656,keep,Germanic,28,9.8117,30
D,92,3014656,last,Germanic,59,11.0450,30
D,92,3014656,leave,Germanic,12,11.0648,30
D,92,3014656,let,Germanic,13,11.3175,30
D,92,3014656,lucky,Germanic,54,14.7689,30
D,92,3014656,maintain,Latinate,29,20.5843,30
D,92,3014656,many,Germanic,46,9.4245,30
D,92,3014656,massive,Latinate,41,15.9980,30
D,92,3014656,maybe,Germanic,62,13.3868,30
D,92,3014656,mend,Germanic,22,23.7227,30
D,92,3014656,mistake,Germanic,34,13.5983,30
D,92,3014656,more,Germanic,48,9.1704,30
D,92,3014656,multiple,Latinate,47,16.9005,30
D,92,3014656,need,Germanic,3,10.8261,30
D,92,3014656,next,Germanic,53,10.2389,30
D,92,3014656,now,Germanic,66,10.2702,30
D,92,3014656,numerous,Latinate,46,17.3146,30
D,92,3014656,observe,Latinate,26,32.6294,30
D,92,3014656,obtain,Latinate,2,17.1919,30
D,92,3014656,occasionally,Latinate,65,19.3627,30
D,92,3014656,odd,Germanic,55,15.1059,30
D,92,3014656,often,Germanic,63,11.4055,30
D,92,3014656,old,Germanic,49,9.6853,30
D,92,3014656,peculiar,Latinate,56,17.1039,30
D,92,3014656,perform,Latinate,30,16.2863,30
D,92,3014656,perhaps,Latinate,62,13.7497,30
D,92,3014656,permit,Latinate,13,19.3558,30
D,92,3014656,possess,Latinate,23,17.3385,30
D,92,3014656,previous,Latinate,50,14.2082,30
D,92,3014656,previously,Latinate,64,16.5850,30
D,92,3014656,prior,Latinate,51,17.1005,30
D,92,3014656,provide,Latinate,5,17.5040,30
D,92,3014656,purchase,Latinate,11,18.3165,30
D,92,3014656,rapid,Latinate,42,17.0100,30
D,92,3014656,receive,Latinate,6,15.6210,30
D,92,3014656,remain,Latinate,27,15.7320,30
D,92,3014656,remainder,Latinate,36,31.3480,30
D,92,3014656,repair,Latinate,22,17.1717,30
D,92,3014656,reply,Latinate,17,15.0858,30
D,92,3014656,request,Latinate,15,15.9385,30
D,92,3014656,require,Latinate,3,17.2352,30
D,92,3014656,residence,Latinate,33,17.9909,30
D,92,3014656,respond,Latinate,18,17.4651,30
D,92,3014656,rest,Germanic,36,9.8042,30
D,92,3014656,retain,Latinate,28,19.2727,30
D,92,3014656,safe,Germanic,58,12.6424,30
D,92,3014656,secure,Latinate,58,15.9537,30
D,92,3014656,see,Germanic,26,7.5036,30
D,92,3014656,select,Latinate,21,18.5660,30
D,92,3014656,shall,Latinate,67,11.5377,30
D,92,3014656,show,Germanic,10,10.6403,30
D,92,3014656,sick,Germanic,57,12.1961,30
D,92,3014656,sickness,Germanic,35,15.8663,30
D,92,3014656,so,Germanic,61,9.1666,30
D,92,3014656,sometimes,Germanic,65,13.2382,30
D,92,3014656,start,Germanic,25,11.2157,30
D,92,3014656,stay,Germanic,27,10.5806,30
D,92,3014656,strange,Latinate,55,12.6308,30
D,92,3014656,subsequent,Latinate,53,31.1815,30
D,92,3014656,sufficient,Latinate,44,19.4812,30
D,92,3014656,therefore,Latinate,61,13.6217,30
D,92,3014656,try,Germanic,7,10.2024,30
D,92,3014656,understand,Germanic,0,11.3544,30
D,92,3014656,want,Germanic,4,8.2350,30
D,92,3014656,whole,Germanic,45,10.2229,30
D,92,3014656,will,Germanic,67,9.8687,30
D,122,3997696,acquire,Latinate,1,30.8283,18
D,122,3997696,additional,Latinate,48,17.3742,30
D,122,3997696,allow,Latinate,14,13.0531,30
D,122,3997696,ancient,Latinate,49,14.8718,30
D,122,3997696,answer,Germanic,17,13.3298,30
D,122,3997696,ask,Germanic,15,10.5788,30
D,122,3997696,assist,Latinate,8,17.0084,30
D,122,3997696,assistance,Latinate,37,17.8477,30
D,122,3997696,attempt,Latinate,7,15.3417,30
D,122,3997696,baby,Germanic,31,11.7252,30
D,122,3997696,before,Germanic,64,10.1407,30
D,122,3997696,beverage,Latinate,32,38.0346,11
D,122,3997696,build,Germanic,9,12.4439,30
D,122,3997696,but,Germanic,60,7.2903,30
D,122,3997696,buy,Germanic,11,11.9440,30
D,122,3997696,choose,Germanic,21,15.9044,30
D,122,3997696,commence,Latinate,25,26.1095,14
D,122,3997696,comprehend,Latinate,0,42.5070,19
D,122,3997696,conceal,Latinate,19,25.4359,30
D,122,3997696,conclude,Latinate,24,34.9190,15
D,122,3997696,construct,Latinate,9,31.1750,18
D,122,3997696,currently,Latinate,66,15.6063,30
D,122,3997696,demonstrate,Latinate,10,26.8743,30
D,122,3997696,depart,Latinate,12,16.2091,30
D,122,3997696,desire,Latinate,4,16.4085,30
D,122,3997696,difficult,Latinate,43,14.6942,30
D,122,3997696,discover,Latinate,20,16.1325,30
D,122,3997696,do,Germanic,30,8.1831,30
D,122,3997696,drink,Germanic,32,14.3370,30
D,122,3997696,earlier,Germanic,50,15.5701,30
D,122,3997696,end,Germanic,24,9.9661,30
D,122,3997696,enormous,Latinate,38,15.8397,30
D,122,3997696,enough,Germanic,44,11.0963,30
D,122,3997696,entire,Latinate,45,13.9665,30
D,122,3997696,error,Latinate,34,18.8461,30
